card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,raw_text
890,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,VISA Platinum 서비스
912,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,"Master 티타늄 서비스
K-WORLD/국내전용 티타늄 서비스"
940,400000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,플레이트 선택
945,0,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,국제 브랜드사 서비스 (플래티늄 등급 선택 시 제공)
949,0,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,영화관 건당 8천원 이상 결제시 3천원 캐시백
952,300000,CARD_LEVEL,3,주유,UNCLASSIFIED,,,,SK주유소 월 최대 5만원 할인
953,300000,CARD_LEVEL,25,정비,UNCLASSIFIED,,,,스피드메이트 엔진오일 및 차량정비 할인
953,300000,CARD_LEVEL,14,생활,UNCLASSIFIED,,,,"영화관, 패밀리레스토랑, 커피 할인"
993,0,CARD_LEVEL,23,바우처,UNCLASSIFIED,,,,Gift Option 서비스
993,0,CARD_LEVEL,20,항공마일리지,UNCLASSIFIED,,,,항공 마일리지 적립 서비스
993,0,CARD_LEVEL,35,골프,UNCLASSIFIED,,,,골프 할인 서비스
993,0,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,국제 브랜드사 서비스 (플래티늄 등급 선택 시 제공)
1002,400000,CARD_LEVEL,5,통신,UNCLASSIFIED,,,,통신요금 최대 2만원 할인
1002,400000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,L.POINT
1003,0,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,"CGV, YES24 영화 7천원 할인"
1003,0,CARD_LEVEL,11,테마파크,UNCLASSIFIED,,,,유명 테마파크 자유이용권 할인
1003,0,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,Platinum# 서비스 및 국제브랜드사 서비스
1006,500000,CARD_LEVEL,23,바우처,UNCLASSIFIED,,,,매년 1회 Gift Option 선택 제공 (전년도 실적 300만원 이상)
1006,500000,INLINE,35,골프,UNCLASSIFIED,,,,골프 쇼핑 or 레슨 할인 (전월실적 50만원 이상)
1006,500000,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,국제 브랜드사 서비스 (플래티늄 등급 선택 시 제공)
1010,500000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,이용건별 기부서비스(1+1적립)
1010,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,"K-WORLD/국내전용 티타늄 서비스
Master 티타늄 서비스"
1018,300000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,"CGV, 롯데시네마, 메가박스 4천원 결제일 할인"
1019,0,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,CGV 3천원 결제일 할인
1165,400000,CARD_LEVEL,35,골프,UNCLASSIFIED,,,,골프존 할인 서비스
