issuer_name_raw,card_name,source_url
UNKNOWN,1st 플래티늄 카드,https://www.card-gorilla.com/card/detail/2181
UNKNOWN,1st 플래티늄+ 카드,https://www.card-gorilla.com/card/detail/2183
UNKNOWN,둘과넷 카드,https://www.card-gorilla.com/card/detail/2184
UNKNOWN,NEW AUTO+,https://www.card-gorilla.com/card/detail/2185
체크카드,유안타 CMA+ 체크카드,https://www.card-gorilla.com/card/detail/2193
바로카드,블랙핑크 카드,https://www.card-gorilla.com/card/detail/2210
UNKNOWN,케이뱅크 SIMPLE 카드,https://www.card-gorilla.com/card/detail/2211
체크카드,챔피언 체크카드,https://www.card-gorilla.com/card/detail/2212
체크카드,쏙쏙 체크카드,https://www.card-gorilla.com/card/detail/2213
체크카드,미래에셋증권 체크카드(할인 2),https://www.card-gorilla.com/card/detail/2216
체크카드,미래에셋증권 체크카드 (캐시백 2),https://www.card-gorilla.com/card/detail/2217
체크카드,한국투자 the More 체크카드,https://www.card-gorilla.com/card/detail/2222
아이맥스카드,able 아이맥스카드,https://www.card-gorilla.com/card/detail/2223
체크카드,영리한 PLUS 체크카드,https://www.card-gorilla.com/card/detail/2227
NH농협카드,NH1961카드,https://www.card-gorilla.com/card/detail/2252
다사로이카드,SOHO 다사로이카드,https://www.card-gorilla.com/card/detail/2253
NH농협카드,SOHO 다사로이+카드,https://www.card-gorilla.com/card/detail/2254
체크카드,토스뱅크 체크카드,https://www.card-gorilla.com/card/detail/2269
바로카드,밸런스 카드,https://www.card-gorilla.com/card/detail/2271
EV카드,EV카드,https://www.card-gorilla.com/card/detail/2284
카카오페이카드,카카오페이카드3,https://www.card-gorilla.com/card/detail/2303
별다줄카드,별다줄카드,https://www.card-gorilla.com/card/detail/2305
교통카드,PAYCO 포인트 카드,https://www.card-gorilla.com/card/detail/2310
나마네카드,나마네카드,https://www.card-gorilla.com/card/detail/2313
토스유스카드,토스유스카드(USS),https://www.card-gorilla.com/card/detail/2314
모바일카드,다날-유니온페이 모바일카드,https://www.card-gorilla.com/card/detail/2319
충전카드,트래블페이 충전카드,https://www.card-gorilla.com/card/detail/2320
모빌카드,모빌카드,https://www.card-gorilla.com/card/detail/2321
NH농협카드,올바른지구 카드,https://www.card-gorilla.com/card/detail/2336
CEO카드,CEO카드,https://www.card-gorilla.com/card/detail/2339
현대백화점카드,현대백화점카드,https://www.card-gorilla.com/card/detail/2344
