card_id,raw_text
59,"국내외 연간 누적 이용금액 1,500만원당 30,000원 캐시백"
59,휴가비 10만원 지원받고 떠나자! 핵가성비 국내여행 할인카드 활용법 tip 3
59,현대카드ZERO Edition2(할인형)
61,"국내 1,500원당 1마일 적립 · 해외 1,500원당 2마일 적립 · S-OIL 40포인트/L 적립"
61,"국내외 이용금액 1,500원당 스카이패스 1~2마일리지 적립"
61,S-OIL 주유소 주유 시 리터당 40 보너스포인트 적립
61,놀이공원 자유이용권 50%·워터파크 입장권 30% 현장할인
61,"엔진오일 교환 시 20,000원 현장할인"
62,해외 쇼핑 1~2% 적립 · 국제브랜드수수료 1% 면제 · 아이포터 배송비 할인
62,해외 쇼핑 빅포인트 적립
62,해외 직구 배송비 할인
62,적립
62,백화점·할인점·온라인 쇼핑몰 등 1% 빅포인트 적립
62,서점·학습지 등 5% 할인
62,커피전문점·파리바게뜨·배스킨라빈스·던킨도너츠 10% 할인
62,"CGV 3,000원 할인"
62,놀이공원 50%·워터파크 30% 할인
62,어린이 직업체험 테마파크 할인
62,"블랙프라이데이, 7가지만 알면 초보자도 득템 성공한다! - 해외직구 할인카드&꿀팁 총정리"
63,삼성페이 10% 할인 · 국내외가맹점 0.3% 할인 · 통신요금 10% 할인
63,삼성 페이 10% 결제일할인
63,국내외 가맹점 0.3% 결제일 할인
63,이동통신요금 10% 결제일할인
63,"CGV·롯데시네마 5,000원 결제일할인"
63,삼성페이(삼성월렛) 온라인&오프라인 결제 할인 신용카드 추천 BEST 5
63,롯데백화점할인카드 TOP5 [카드결제일 정하기 TIP]
63,현대카드ZERO Edition2(할인형)
64,"신세계백화점 5% 할인 · 이마트 6,000원 할인 · 국내가맹점 0.5~3% 적립"
64,적립
64,"국내 가맹점, 주유, 삼성전자 등 빅포인트 적립"
64,할인
64,"영화, 세콤홈즈, 삼성미술관리움 등 할인"
72,트레이더스 1~5% 할인 · 학원/서점/병원 5% 할인 · SKT/스타벅스 5% 할인
72,트레이더스 결제일할인
72,학원·서점·학습지·인터넷강의 5% 결제일할인
72,이동통신 5% 결제일할인
72,커피전문점 5% 결제일할인
72,병원·약국 5% 결제일할인(청구할인)
72,2026 트레이더스 할인카드 추천부터 회원권 꿀팁까지! 트레이더스 갈 때 삼성카드만 챙길 필요 없다?
72,지금 챙겨야 할 병원비 할인카드 BEST 5
72,"이마트부터 SSG, 트레이더스까지… ‘쓱’할 만한 대형마트 장보기 할인 카드 BEST 5"
73,"대형마트 5% 할인 · 아웃백 25% 할인 · CGV 6,000원 할인"
73,"대형마트, 백화점, 주유 등 5% 청구할인"
73,"아웃백, 애슐리, TGIF 등 25% 청구할인"
73,"탐앤탐스, 스타벅스 20% 청구할인"
73,"통신, 영화, 놀이공원, 호텔 할인"
73,가을에 쓰기 좋은 놀이공원 할인 카드 5
74,"주요 7대 업종 10~5% 할인 · 영화 3,000원 할인 · 커피 20% 할인"
74,주요 7대 업종 10~5% 청구할인
74,"전국 영화관 3,000원 청구할인"
74,커피 20% 청구할인
74,주요 놀이공원 자유이용권 50% 현장할인
74,"치킨, 피자 10% 청구할인"
74,바리스타 고릴라가 알려주는 커피 할인 카드 5종
77,"국내가맹점 0.7% 적립 · 쇼핑업종 1.5~2% 적립 · 치킨,피자 10% 할인"
77,국내 가맹점 0.7% 위비꿀머니 적립
77,"대형할인점, 면세점 1.5% 및 위비마켓 2% 위비꿀머니 적립"
77,학원 1.5% 위비꿀머니 적립
77,이동통신 1.5% 위비꿀머니 적립
77,병의원 1.5% 위비꿀머니 적립
77,해외 이용금액 1.5% 위비꿀머니 적립
77,치킨/피자 10% 청구할인
77,전국 영화관 청구할인
77,"스타벅스, 이디야, 폴바셋 10% 청구할인"
80,"PAY 결제 7% 할인 · PAY 외 결제 5% 할인 · 영화 3,000원 할인"
80,PAY(간편결제 서비스) 결제 시 7% 할인
80,PAY 외 결제 시 5% 할인
80,전국 영화관 3천원 청구할인
80,치킨/피자 10% 청구할인
80,간편결제 할인카드 BEST 10
81,위메프 5% 적립 · 스타벅스 50% 할인 · 편의점 10% 할인
81,위메프 포인트 5% 적립
81,스타벅스(사이렌오더 포함) 50% 청구 할인
81,편의점 업종 10% 청구 할인
82,"골프업종 3% 적립 · 해외,면세점,여행사,항공사 1.8% 적립 · 병원,동물병원 1.5% 적립"
82,"Well Living: 백화점, 온라인 쇼핑, 대형할인점 모아포인트 1% 적립"
82,Well Living: 이동통신 모아포인트 1.5% 적립
82,Well Living: 병원(동물병원 포함) 모아포인트 1.5% 적립
82,"Enjoy Living: 해외, 면세점, 여행사 ,항공사 모아포인트 1.8% 적립"
82,Enjoy Living: 골프 업종 3% 적립
82,골프장·골프연습장 할인 신용카드 & 골프 라운딩 준비물인 40대 프리미엄 카드 추천 BEST 6
83,"자동납부 10% 할인 · 대형할인점 2,000원 할인 · 스타벅스 10% 할인"
83,[차트 in 차트] 고릴라차트 속 ‘월납요금’ 할인카드 TOP5
83,월납요금 줄여주는 관리비 할인카드 추천 5
84,"모든가맹점 0.8% 적립 · 교통,통신,전기차충전 5% 적립 · 간편결제 3% 추가적립"
84,모아포인트 0.8%~5% 적립
84,이동통신 업종 모아포인트 5% 적립
84,대중교통 업종 모아포인트 5% 적립
84,전기차 충전 모아포인트 5% 적립
84,"스타벅스, 엔제리너스, 이디야 모아포인트 3% 적립"
84,"CGV, 롯데시네마 모아포인트 3% 적립"
84,"백화점, 할인점, 온라인쇼핑 모아포인트 1% 적립"
84,주유 모아포인트 1% 적립
84,해외 가맹점 1% 적립
84,주요 간편결제 모아포인트 3% 추가적립
84,"단종된 알짜카드를 대체하라, 2026  포인트 적립 신용카드 추천 BEST 5"
84,"전월실적 없는 신용카드부터 프리미엄 카드까지, 2026  포인트 적립 신용카드 추천 로드맵"
84,현대카드ZERO Edition2(할인형)
85,온·오프라인쇼핑 10% 할인 · 간편결제 5% 추가할인 · 주말주유 60원/L 할인
85,온·오프라인 쇼핑 10% 청구할인
85,온라인 업종 4대 PAY 결제 시 5% 추가할인
85,4대 주유소 주말 주유시 리터당 60원 청구할인
85,"스타벅스, 폴바셋 10% 청구할인"
85,주말에 몰캉스 떠나볼까? 스타필드·백화점·아울렛 할인카드 BEST 7
85,계란값이 난리났네 난리났어! 대형마트 할인카드 TOP5 (feat. 설날 장바구니 물가)
85,편의점 최대 20% 할인! CU할인카드 BEST5
86,"국내가맹점 0.7~1% 할인 · S-OIL,현대오일뱅크 60~100원/L 할인 · 대중교통 10% 할인"
86,모든 국내 가맹점 0.7~1% 청구할인
86,"S-OIL, 현대오일뱅크 리터당 60~100원 청구할인"
86,대중교통 10% 청구할인
86,"스타벅스, 폴바셋 10% 청구할인"
86,‘5% 적립이냐 1% 무조건 할인이냐’ 카드의정석 POINT vs 카드의정석 DISCOUNT
86,현대카드ZERO Edition2(할인형)
87,모든가맹점 0.8% 할인 · 생활업종 1.3% 할인 · 국내공항라운지 연 2회 무료(전월실적 30만원)
87,국내외 가맹점 1.3%~0.8% 청구할인
87,제과점 1.3% 청구할인
87,편의점 1.3% 청구할인
87,수퍼마켓 1.3% 청구할인
87,"병원, 약국 1.3% 청구할인"
87,"면세점, 해외이용금액 1.3% 청구할인"
87,뷰티 1.3% 청구할인
87,대중교통 1.3% 청구할인
87,항공사 1.3% 청구할인
87,음식점 1.3% 청구할인
87,렌탈관련 이용금액 0.8% 청구할인
87,"교육관련 이용금액 0.8% 청구할인
육아관련 이용금액 0.8% 청구할인"
87,"영화관련 이용금액 0.8% 청구할인
문화관련 이용금액 0.8% 청구할인"
87,주유관련 이용금액 0.8% 청구할인
87,통신관련 이용금액 0.8% 청구할인
87,현대카드ZERO Edition2(할인형)
88,"대중교통 33% 할인 · 커피 55% 할인 · 영화관 5,500원 할인"
88,대중교통 33% 청구할인
88,"커피 4대 브랜드 통합 (스타벅스, 투썸플레이스, 커피빈, 폴바셋) 55% 청구할인"
88,편의점 11% 청구할인
88,"영화관 5,500원 할인"
88,"[반값카드] 의외로 잘 모르는 스타벅스 반값 공략법, 카페 50% 카드"
88,"여름이니까🎵 아이스커피🧊 그런데 편의점에서 통신사 할인만 받으시나요? 더 알뜰하게, 편의점 알짜카드 BEST5"
88,2019 카드타입차트 - 할인형 9위
89,"Most주유소 최대 200원/L 할인 · 주차장 2,000원 할인 · 영화 5,000원 할인"
89,SK네트웍스 Most 주유소 리터당 최대 200원 청구할인
89,"CLUB Most 멤버십 서비스 제공 및 주차장 2,000원 청구할인"
89,"영화관 업종 5,000원 청구할인"
89,놀이공원 본인 자유이용권 50% 현장할인
89,비싸도 너무 비싼 주유비 할인카드 5종 추천!
90,국내가맹점 5% 할인 · 해외가맹점 3% 할인 · 워라밸업종 7% 할인
90,[2020 소비 트렌드] 국내 할인 한도 1위 '10만 원'에 주목하라
90,2020 1Q 카드타입차트 - 할인형 10위
91,전월실적조건없이 0.8~2% 적립 · 국내외공항라운지 The Lounge Members 무료이용 · 연1회 프리미엄기프트 제공
91,적립
91,전월이용 실적조건 없이 모아포인트 0.8~2% 적립
91,"현대오일뱅크, S-OIL 주유 및 충전 시 리터당 60원 청구할인"
