benefit_id,card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,unit_type,raw_text,classification_status
3111,2385,500000,CARD_LEVEL,14,생활,UNCLASSIFIED,,,,,스트리밍·커피 결제일 할인,NEEDS_AI_REVIEW
3112,2385,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,Master WORLD 서비스,NEEDS_AI_REVIEW
3113,2386,300000,CARD_LEVEL,17,대중교통,UNCLASSIFIED,,,,,K-패스 안내,NEEDS_AI_REVIEW
3114,2386,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택 가능,NEEDS_AI_REVIEW
3115,2388,0,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,차별화된 가치를 담은 메탈플레이트 제공,NEEDS_AI_REVIEW
3116,2388,0,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,MasterCard World서비스,NEEDS_AI_REVIEW
3117,2389,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,넥슨 현대카드의 특별한 디자인을 소개합니다,NEEDS_AI_REVIEW
3118,2390,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,넥슨 현대카드 CHECK의특별한 디자인을 소개합니다,NEEDS_AI_REVIEW
3119,2393,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,SSG.COM카드 Edition2의 특별한 디자인을 소개합니다.,NEEDS_AI_REVIEW
3120,2394,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,플레이트 3종 선택,NEEDS_AI_REVIEW
3121,2398,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,Mastercard PLATINUM 등급 서비스,NEEDS_AI_REVIEW
3122,2399,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,다양한 플레이트 선택 가능,NEEDS_AI_REVIEW
3123,2404,300000,CARD_LEVEL,1,쇼핑,UNCLASSIFIED,,,,,코오롱 FnC 온/오프라인 매장 상품 구매시 청구할인 제공,NEEDS_AI_REVIEW
3124,2404,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택 가능,NEEDS_AI_REVIEW
3125,2405,500000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,플레이트 선택 가능,NEEDS_AI_REVIEW
3126,2406,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,Special Service 메탈 플레이트 기본 제공,NEEDS_AI_REVIEW
3127,2406,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,국제 브랜드 서비스,NEEDS_AI_REVIEW
3128,2414,400000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,[인플카 전용 혜택]인플카 현대카드 보유 시 인플카 앱 서비스 이용 가능,NEEDS_AI_REVIEW
3129,2414,400000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,인플카 현대카드의 특별한 디자인을 소개합니다,NEEDS_AI_REVIEW
3130,2419,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,"보기만 해도 소장 욕구 뿜뿜!
청소년의 눈길과 마음을 사로잡은 삼성 iD POCKET 카드를 소개합니다.",NEEDS_AI_REVIEW
3131,2420,500000,CARD_LEVEL,4,금융,UNCLASSIFIED,,,,,세무지원 서비스,NEEDS_AI_REVIEW
3132,2430,0,CARD_LEVEL,4,금융,UNCLASSIFIED,,,,,SC제일은행 혜택,NEEDS_AI_REVIEW
3133,2431,0,CARD_LEVEL,4,금융,UNCLASSIFIED,,,,,SC제일은행 혜택,NEEDS_AI_REVIEW
3134,2431,0,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,,X캐시백 사용,NEEDS_AI_REVIEW
3135,2432,250000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,플레이트 디자인 선택 가능,NEEDS_AI_REVIEW
3136,2433,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,다양한 플레이트 디자인 선택 가능,NEEDS_AI_REVIEW
3137,2434,500000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,갤러리아 KB국민카드 디자인 선택,NEEDS_AI_REVIEW
3138,2435,400000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,,"주차앱 5천원 이상 결제 시, 5천원 캐시백",NEEDS_AI_REVIEW
3139,2436,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,"메탈 플레이트
the Red Stripe의 헤리티지를 담은 메탈 플레이트",NEEDS_AI_REVIEW
3140,2436,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,VISA Signature 서비스,NEEDS_AI_REVIEW
3141,2436,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,MasterCard World 서비스,NEEDS_AI_REVIEW
