card_type,category_main,card_name,source_url,raw_text_snippet
CREDIT,기타,카드의정석 위비온 플러스,https://www.card-gorilla.com/card/detail/90,"카드의정석 위비온 플러스 | |카드의정석 위비온 플러스|카드의정석 위비온 플러스 · 우리카드|국내가맹점 5% 할인 · 해외가맹점 3% 할인 · 워라밸업종 7% 할인|국내전용 [13,000]원 / 해외겸용 [15,000]원 · 30만원 이상 · Mastercard · BC|[2020 상반기 결산] 신용카드 랭킹 1위 ‘해외 직구’ 편|자기계발과 여가 생활, "
CHECK,여행항공,카드의정석 PREMIUM MILEAGE(SKYPASS),https://www.card-gorilla.com/card/detail/92,"카드의정석 PREMIUM MILEAGE(SKYPASS) | |카드의정석 PREMIUM MILEAGE(SKYPASS)|카드의정석 PREMIUM MILEAGE(SKYPASS) · 우리카드|1,000원당 1~2마일 적립 · 국내외 공항라운지 무료 이용서비스 · 연1회 프리미엄기프트 제공|국내전용 [135,000]원 / 해외겸용 [135,000]원 · 50만원 이"
CREDIT,여행항공,카드의정석 PREMIUM MILEAGE(AsianaClub),https://www.card-gorilla.com/card/detail/93,"카드의정석 PREMIUM MILEAGE(AsianaClub) | |카드의정석 PREMIUM MILEAGE(AsianaClub)|카드의정석 PREMIUM MILEAGE(AsianaClub) · 우리카드|1,000원당 1.5~3마일 적립 · 국내외공항라운지 The Lounge Members 무료이용 · 연1회 프리미엄기프트 제공|국내전용 [135,000]원 /"
CREDIT,여행항공,마일리지 가온카드(대한항공),https://www.card-gorilla.com/card/detail/113,"마일리지 가온카드(대한항공) | |마일리지 가온카드(대한항공)|마일리지 가온카드(대한항공) · KB국민카드|국내 1,500원당 1마일 적립 · 해외 1,500원당 2마일 적립 · 면세 1,500원당 2마일 적립|국내전용 [15,000]원 / 해외겸용 [20,000]원 · 없음 · Mastercard|항공마일리지|대한항공 마일리지 1~2마일 적립|삼성카드 &"
CHECK,쇼핑,청춘대로카드,https://www.card-gorilla.com/card/detail/116,"청춘대로카드 | |청춘대로카드|청춘대로카드 · KB국민카드|온라인쇼핑몰 10% 할인 · 대중교통/택시 10% 할인 · 연간리워드 1만점 적립|국내전용 [15,000]원 / 해외겸용 [20,000]원 · 30만원 이상 · Mastercard|선택형|홀릭's Choice (쇼핑홀릭 또는 푸드홀릭 중 택1)|카페/디저트|커피/제과/아이스크림 5~10% 할인|뷰티"
CHECK,쇼핑,ONE카드,https://www.card-gorilla.com/card/detail/120,"ONE카드 | |ONE카드|ONE카드 · KB국민카드|국내가맹점 0.7% 적립 · 해외이용금액 2.0% 캐시백 · 맥스무비 3,500원 할인|해외겸용 [15,000]원 · 없음 · Mastercard|적립|기본적립/생활속 추가적립 서비스|해외|해외이용 2.0% 할인 캐시백|OTT/영화/문화|맥스무비 영화 3,500원 현장할인|레저/스포츠|놀이공원 30~50"
CREDIT,생활,모바일101카드,https://www.card-gorilla.com/card/detail/122,"모바일101카드 | |모바일101카드|모바일101카드 · KB국민카드|삼성페이/Kmotion 5% 할인 · 소셜커머스 5% 할인 · 버스/지하철 5% 할인|해외겸용 [1,000]원 · 20만원 이상 · VISA · Mastercard|간편결제|삼성페이, Kmotion 오프라인 모바일결제 5% 청구할인|소셜커머스|위메프, 쿠팡, 티몬 3대 소셜커머스 5% 청"
CHECK,교통자동차,청춘대로 매니아i카드,https://www.card-gorilla.com/card/detail/127,"청춘대로 매니아i카드 | |청춘대로 매니아i카드|청춘대로 매니아i카드 · KB국민카드|대중교통 5% 적립 · 커피/디저트 10% 적립 · 해외이용금액 3% 캐시백|국내전용 [12,000]원 / 해외겸용 [15,000]원 · 40만원 이상 · Mastercard · UnionPay|교통|대중교통, 택시 5% 적립|통신|이동통신요금 5% 적립|주유|SK, GS"
CREDIT,외식카페,청춘대로 톡톡카드,https://www.card-gorilla.com/card/detail/129,"청춘대로 톡톡카드 | |청춘대로 톡톡카드|청춘대로 톡톡카드 · KB국민카드|스타벅스 50% 할인 · 버거/패스트푸드 20% 할인 · 간편결제Pay 10% 할인|국내전용 [10,000]원 / 해외겸용 [12,000]원 · 30만원 이상 · Mastercard · JCB|카페/디저트|[Great 서비스] 스타벅스 50% 청구할인|패스트푸드|[Enjoy 서비스]"
CHECK,생활,삼성페이 KB국민카드,https://www.card-gorilla.com/card/detail/148,"삼성페이 KB국민카드 | |삼성페이 KB국민카드|삼성페이 KB국민카드 · KB국민카드|삼성페이 간편결제 10% 청구할인 · 주요생활영역 5% 청구할인|해외겸용 [15,000]원 · 40만원 이상 · Mastercard|삼성페이|삼성페이 10% 할인서비스|생활|주요 생활영역 5% 할인서비스|카카오페이 신용카드 & 체크카드 추천 BEST 5┃카카오페이 카드 등"
