source_id,card_name,issuer_name_raw,source_url
2096,CREAM Hybrid 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2096
2099,에코마일리지카드(비씨),에코마일리지카드,https://www.card-gorilla.com/card/detail/2099
2118,아시아나 마일리지카드,마일리지카드,https://www.card-gorilla.com/card/detail/2118
2127,JEJUJINI Air Money카드,Money카드,https://www.card-gorilla.com/card/detail/2127
2128,ON PLATINUM카드(스카이패스),PLATINUM카드,https://www.card-gorilla.com/card/detail/2128
2130,ON PLATINUM카드(아시아나클럽),PLATINUM카드,https://www.card-gorilla.com/card/detail/2130
2131,ON PLATINUM카드(포인트),PLATINUM카드,https://www.card-gorilla.com/card/detail/2131
2148,KCTV알뜰카드,KCTV알뜰카드,https://www.card-gorilla.com/card/detail/2148
2165,제주삼다수 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2165
2170,부자되세요 더마일리지카드,더마일리지카드,https://www.card-gorilla.com/card/detail/2170
2173,국민행복체크카드,국민행복체크카드,https://www.card-gorilla.com/card/detail/2173
2174,제주그린체크카드,제주그린체크카드,https://www.card-gorilla.com/card/detail/2174
2177,1st Link On 카드,UNKNOWN,https://www.card-gorilla.com/card/detail/2177
2180,1st TRIPLE Platinum 카드,UNKNOWN,https://www.card-gorilla.com/card/detail/2180
2181,1st 플래티늄 카드,UNKNOWN,https://www.card-gorilla.com/card/detail/2181
2183,1st 플래티늄+ 카드,UNKNOWN,https://www.card-gorilla.com/card/detail/2183
2184,둘과넷 카드,UNKNOWN,https://www.card-gorilla.com/card/detail/2184
2185,NEW AUTO+,UNKNOWN,https://www.card-gorilla.com/card/detail/2185
2193,유안타 CMA+ 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2193
2210,블랙핑크 카드,바로카드,https://www.card-gorilla.com/card/detail/2210
2211,케이뱅크 SIMPLE 카드,UNKNOWN,https://www.card-gorilla.com/card/detail/2211
2212,챔피언 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2212
2213,쏙쏙 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2213
2216,미래에셋증권 체크카드(할인 2),체크카드,https://www.card-gorilla.com/card/detail/2216
2217,미래에셋증권 체크카드 (캐시백 2),체크카드,https://www.card-gorilla.com/card/detail/2217
2222,한국투자 the More 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2222
2223,able 아이맥스카드,아이맥스카드,https://www.card-gorilla.com/card/detail/2223
2227,영리한 PLUS 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2227
2252,NH1961카드,NH농협카드,https://www.card-gorilla.com/card/detail/2252
2253,SOHO 다사로이카드,다사로이카드,https://www.card-gorilla.com/card/detail/2253
2254,SOHO 다사로이+카드,NH농협카드,https://www.card-gorilla.com/card/detail/2254
2269,토스뱅크 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2269
2271,밸런스 카드,바로카드,https://www.card-gorilla.com/card/detail/2271
2284,EV카드,EV카드,https://www.card-gorilla.com/card/detail/2284
2303,카카오페이카드3,카카오페이카드,https://www.card-gorilla.com/card/detail/2303
2305,별다줄카드,별다줄카드,https://www.card-gorilla.com/card/detail/2305
2310,PAYCO 포인트 카드,교통카드,https://www.card-gorilla.com/card/detail/2310
2313,나마네카드,나마네카드,https://www.card-gorilla.com/card/detail/2313
2314,토스유스카드(USS),토스유스카드,https://www.card-gorilla.com/card/detail/2314
2319,다날-유니온페이 모바일카드,모바일카드,https://www.card-gorilla.com/card/detail/2319
2320,트래블페이 충전카드,충전카드,https://www.card-gorilla.com/card/detail/2320
2321,모빌카드,모빌카드,https://www.card-gorilla.com/card/detail/2321
2336,올바른지구 카드,NH농협카드,https://www.card-gorilla.com/card/detail/2336
2339,CEO카드,CEO카드,https://www.card-gorilla.com/card/detail/2339
2344,현대백화점카드,현대백화점카드,https://www.card-gorilla.com/card/detail/2344
2345,현대백화점 Fit카드,Fit카드,https://www.card-gorilla.com/card/detail/2345
2346,BC 바로 클리어 플러스,바로카드,https://www.card-gorilla.com/card/detail/2346
2347,BC 바로 리워드 플러스,바로카드,https://www.card-gorilla.com/card/detail/2347
2348,BC 바로 페이백 플러스,바로카드,https://www.card-gorilla.com/card/detail/2348
