card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,unit_type,raw_text
602,0,CARD_LEVEL,18,카페,FIXED_AMOUNT,,500,,,"스타벅스, 폴바셋, 이디야 결제 건당 500원 할인"
603,0,CARD_LEVEL,16,프리미엄,FREE_SERVICE,,,,,국내 특급호텔 및 공항 무료 발레파킹서비스
603,0,CARD_LEVEL,18,카페,FIXED_AMOUNT,,500,,,"스타벅스, 폴바셋, 이디야 결제 건당 500원 할인"
606,400000,CARD_LEVEL,14,생활,RATE_DISCOUNT,20.0,,,,정기결제 최대 20% 청구할인
606,400000,CARD_LEVEL,32,해외이용,RATE_DISCOUNT,1.0,,,,해외 가맹점 (온라인/오프라인) 1% 청구할인
607,400000,CARD_LEVEL,14,생활,RATE_DISCOUNT,20.0,,,,정기결제 최대 20% 청구할인
607,400000,CARD_LEVEL,32,해외이용,RATE_DISCOUNT,2.0,,,,해외 가맹점 (온라인/오프라인) 2% 청구할인
615,500000,CARD_LEVEL,5,통신,FIXED_AMOUNT,,1500,,,"통신요금 자동납부 1만원당 1,500원 청구 할인"
615,500000,CARD_LEVEL,13,선택형,RATE_DISCOUNT,5.0,,,,온라인쇼핑 5% 청구할인
616,0,CARD_LEVEL,14,생활,FIXED_AMOUNT,,2000,,,"다이소 2,000원 ~ 4,000원 결제일할인"
616,0,CARD_LEVEL,18,카페,FIXED_AMOUNT,,2000,,,"커피전문점 2,000원 결제일할인"
616,0,CARD_LEVEL,6,기타,RATE_DISCOUNT,1.0,,,,할인점.온라인쇼핑몰.편의점.의료 1% 결제일할인
618,200000,CARD_LEVEL,17,대중교통,RATE_DISCOUNT,5.0,,,,대중교통 이용금액 5% 캐시백
618,200000,CARD_LEVEL,26,해외,RATE_DISCOUNT,1.2,,,,"해외 전 가맹점(온라인포함) 1.2% 캐시백
해외인출 1건 당 US  캐시백 제공"
621,1500000,CARD_LEVEL,3,주유,FIXED_AMOUNT,,100,,,SK 에너지ㆍS-OILㆍGS칼텍스ㆍ현대오일뱅크 100원/L 할인
621,1500000,CARD_LEVEL,24,마트/편의점,RATE_DISCOUNT,5.0,,,,GS25ㆍCUㆍ세븐일레븐 5% 할인
622,1500000,CARD_LEVEL,18,카페,RATE_DISCOUNT,50.0,,,,스타벅스ㆍ폴바셋ㆍ빽다방ㆍ투썸플레이스 50% 할인
622,1500000,CARD_LEVEL,27,교통,RATE_DISCOUNT,10.0,,,,버스ㆍ지하철ㆍ택시 10% 할인
622,1500000,CARD_LEVEL,21,온라인쇼핑,RATE_DISCOUNT,5.0,,,,쿠팡ㆍSSG닷컴ㆍ마켓컬리 5% 할인
624,1500000,CARD_LEVEL,34,병원,RATE_DISCOUNT,10.0,,,,병원ㆍ약국ㆍ동물병원 10% 할인
624,1500000,CARD_LEVEL,1,쇼핑,RATE_DISCOUNT,5.0,,,,"백화점, 슈퍼 5% 할인"
624,1500000,CARD_LEVEL,17,대중교통,RATE_DISCOUNT,10.0,,,,버스ㆍ지하철 10% 할인
625,1500000,CARD_LEVEL,22,대형마트,RATE_DISCOUNT,10.0,,,,이마트ㆍ홈플러스ㆍ롯데마트 10% 할인
625,1500000,CARD_LEVEL,21,온라인쇼핑,RATE_DISCOUNT,10.0,,,,쿠팡ㆍ위메프ㆍ티몬ㆍG마켓 ㆍ옥션ㆍ11번가 10% 할인
625,1500000,CARD_LEVEL,19,편의점,RATE_DISCOUNT,10.0,,,,세븐일레븐ㆍGS25ㆍCU 10% 할인
628,300000,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,1.5,,,,모아포인트 0.3 ~ 1.5% 적립
628,300000,CARD_LEVEL,11,테마파크,RATE_DISCOUNT,50.0,,,,롯데아쿠아리움 및 주요 놀이공원 50% 현장할인
638,300000,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,0.3,,,,모든 가맹점 0.3% 포인트 적립
638,300000,CARD_LEVEL,14,생활,RATE_DISCOUNT,2.0,,,,생활가맹점 총 2% 포인트 적립 (기본 0.3%+추가 1.7%)
638,300000,CARD_LEVEL,1,쇼핑,RATE_DISCOUNT,1.0,,,,쇼핑가맹점 총 1% 포인트 적립(기본 0.3%+추가 0.7%)
638,300000,CARD_LEVEL,32,해외이용,RATE_DISCOUNT,1.0,,,,해외 가맹점 이용금액 총 1% 포인트 적립(기본 0.3%+추가 0.7%)
644,200000,CARD_LEVEL,17,대중교통,RATE_DISCOUNT,3.0,,,,"대중교통(버스-마을, 시내, 시외, 광역, 공항버스/지하철) 이용금액 3% 캐시백"
644,200000,CARD_LEVEL,18,카페,RATE_DISCOUNT,5.0,,,,스타벅스(사이렌오더 포함)/JYP-Soulcup 5% 캐시백
644,200000,CARD_LEVEL,24,마트/편의점,RATE_DISCOUNT,5.0,,,,"편의점(GS25), 올리브영 5% 캐시백"
644,200000,CARD_LEVEL,32,해외이용,RATE_DISCOUNT,1.0,,,,"해외 전가맹점(온라인 포함) 이용금액의 1% 캐시백,
해외인출 1건당 3$ 캐시백"
645,0,CARD_LEVEL,27,교통,RATE_DISCOUNT,0.5,,,,"후불교통(버스/지하철) 및 택시, 롯데 더드림영역 이용금액 0.5% 포인트 적립"
